1548577298.000000 ccnd[27068]:  ____________________ Sun Jan 27 17:21:38 2019
1548577298.089678 00000000.ccnd[27068]: =======================ex index n: 0
1548577298.089732 00000000.ccnd[27068]: =======================ex index l: 12
1548577298.089737 ccnd[27068]: CCND_DEBUG=1 CCND_CAP=50
1548577298.089739 ccnd[27068]: CCND_DEBUG=1 CCND_CAP_G=50
1548577298.089784 ccnd[27068]: listening on /tmp/.ccnd.sock
1548577298.089800 ccnd[27068]: accepting ipv4 datagrams on fd 4 rcvbuf 212992
1548577298.089809 ccnd[27068]: accepting ipv4 connections on fd 5
1548577298.089819 ccnd[27068]: accepting ipv6 datagrams on fd 6 rcvbuf 212992
1548577298.089827 ccnd[27068]: accepting ipv6 connections on fd 7
1548577298.140433 ccnd[27068]: accepted client fd=8 id=6
1548577298.140496 ccnd[27068]: shutdown client fd=8 id=6
1548577298.140502 ccnd[27068]: recycling face id 6 (slot 6)
1548577299.089299 ccnd[27068]: accepted client fd=8 id=6
1548577299.089877 ccnr[27073]: CCNR_DEBUG=7 CCNR_DIRECTORY=. CCNR_STATUS_PORT=
1548577299.089992 ccnr[27073]: Repository file is indexed
1548577299.091716 ccnd[27068]: accepted client fd=9 id=7
1548577299.100607 ccnd[27068]: accepted datagram client id=8 (flags=0x40012) 192.168.122.102 port 9695
1548577299.106680 ccnd[27068]: shutdown client fd=8 id=6
1548577299.106689 ccnd[27068]: releasing face id 6 (slot 6)
1548577474.000007 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:75997342
1548577475.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:77246326
1548577476.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:78495310
1548577477.000003 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:79744294
1548577478.000007 ccnd[27068]: #CANUSE#:5849283 #FACE#:8 #SENDAMOUNT#:80988547
1548577479.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:81717121
1548577480.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:82966105
1548577481.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:84215089
1548577482.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:84328998
1548577483.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:84338460
1548577489.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:84968016
1548577490.000003 ccnd[27068]: #CANUSE#:9999998 #FACE#:8 #SENDAMOUNT#:86637936
1548577491.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:87262428
1548577492.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:88511412
1548577493.000006 ccnd[27068]: #CANUSE#:6283373 #FACE#:8 #SENDAMOUNT#:89760396
1548577494.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:90545742
1548577495.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:91794726
1548577496.000004 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:93043710
1548577497.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:94292694
1548577498.000005 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:95541678
1548577499.000007 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:96502436
1548577504.000005 ccnd[27068]: #CANUSE#:6000268 #FACE#:8 #SENDAMOUNT#:96507165
1548577505.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:97131992
1548577507.000006 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:98641058
1548577508.000008 ccnd[27068]: #CANUSE#:10000000 #FACE#:8 #SENDAMOUNT#:99890042
